
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   190: 000000000078f8f4     4 FUNC    WEAK   DEFAULT   10 _ZN21RewardedVideoDelegate21rewardedVideoFinishedEv
   191: 000000000119f8a0  2016 OBJECT  WEAK   DEFAULT   17 _ZTV15UIPOptionsLayer
   192: 000000000068a7f0    80 FUNC    GLOBAL DEFAULT   10 _ZN8EditorUI14updateEditMenuEv
   193: 000000000092f6b0   652 FUNC    GLOBAL DEFAULT   10 _ZN18AnimatedShopKeeper18playReactAnimationEv
   194: 0000000000ad79f8   136 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCDirector16setupScreenScaleENS_6CCSizeES1_NS_14TextureQualityE
   195: 00000000007cf460  1408 FUNC    GLOBAL DEFAULT   10 _ZN21MoreVideoOptionsLayer9addToggleEPKcS1_S1_
   196: 0000000000a5a174    56 FUNC    GLOBAL DEFAULT   10 _ZN18OptionsScrollLayer27registerWithTouchDispatcherEv
   197: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND glDrawArrays
   198: 00000000007b56c8   108 FUNC    GLOBAL DEFAULT   10 _ZN16GameStatsManager11getLevelKeyEP11GJGameLevel
   199: 00000000009011f0   536 FUNC    GLOBAL DEFAULT   10 _ZN13StarInfoPopup21createFromStringMoonsESs
   200: 00000000006f3658   332 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelManager15updateUsernamesEv
   201: 0000000000744570  4324 FUNC    GLOBAL DEFAULT   10 _ZN16CustomSongWidget14updateSongInfoEv
   202: 00000000007dc000  2928 FUNC    GLOBAL DEFAULT   10 _ZN12SupportLayer7onLinksEPN7cocos2d8CCObjectE
   203: 00000000009aafbc     4 FUNC    GLOBAL DEFAULT   10 _ZN18SetupTimeWarpPopup7onCloseEPN7cocos2d8CCObjectE
   204: 00000000007a0ef4    20 FUNC    WEAK   DEFAULT   10 _ZN11GJStoreItemD2Ev
   205: 0000000000a43040   100 FUNC    WEAK   DEFAULT   10 _ZN21SetupCameraGuidePopupD2Ev
   206: 0000000000d5cc50    28 FUNC    GLOBAL DEFAULT   10 SSL_get_srp_userinfo
   207: 00000000005a2f00    24 FUNC    GLOBAL DEFAULT   10 _ZN15CCTextInputNode24setLabelPlaceholderColorEN7cocos2d10_ccColor3BE
   208: 0000000000dfb5fc    60 FUNC    GLOBAL DEFAULT   10 X509V3_set_ctx
   209: 0000000000afd3e8     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N7cocos2d16CCParticleSystem12setBlendFuncENS_12_ccBlendFuncE
   210: 000000000065c858   196 FUNC    GLOBAL DEFAULT   10 _ZN19LevelSettingsObjectD1Ev
   211: 0000000000e1b4fc    20 FUNC    GLOBAL DEFAULT   10 Camellia_decrypt
   212: 0000000000b18180    80 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d17CCSpriteBatchNode15updateBlendFuncEv
   213: 0000000000de0038   360 FUNC    GLOBAL DEFAULT   10 SRP_create_verifier_BN
   214: 00000000007d3b8c     4 FUNC    GLOBAL DEFAULT   10 _ZN13EndLevelLayer11onEveryplayEPN7cocos2d8CCObjectE
   215: 000000000056b4a8    20 FUNC    WEAK   DEFAULT   10 _ZN13BonusDropdownD2Ev
   216: 0000000000b1c688   180 FUNC    GLOBAL DEFAULT   10 _Z17isLegalUTF8StringPPKhS0_
   217: 0000000000adc620    72 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8CCGrid3D9setVertexERKNS_7CCPointERKNS_11_ccVertex3FE
   218: 0000000000ab9510   156 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d15CCEaseBackInOut6createEPNS_16CCActionIntervalE
   219: 00000000006859a8   112 FUNC    GLOBAL DEFAULT   10 _ZN18GJTransformControlD2Ev
   220: 0000000000aecba4    20 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d21CCTransitionZoomFlipYD1Ev
   221: 0000000000c49094   400 FUNC    GLOBAL DEFAULT   10 TIFFInitCCITTRLEW
   222: 00000000008a5304   120 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectManager16hasBeenTriggeredEii
   223: 0000000000aaef78   420 FUNC    GLOBAL DEFAULT   10 _Z19localStorageGetItemPKc
   224: 0000000000e6f608    16 FUNC    GLOBAL DEFAULT   10 X509_policy_node_get0_policy
   225: 00000000008cc100     8 FUNC    GLOBAL DEFAULT   10 _ZThn632_N18FriendRequestPopup20uploadActionFinishedEii
   226: 00000000008c2430     8 FUNC    WEAK   DEFAULT   10 _ZThn320_N15UIPOptionsLayerD1Ev
   227: 0000000000aa5490   224 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9extension12CCScrollView13isNodeVisibleEPNS_6CCNodeE
